Date,Primary Type,Location Description,Arrest,District,Ward,Updated On
1/1/19 0:00,THEFT,RESTAURANT,FALSE,18,42,1/10/19 15:16
1/1/19 0:00,MOTOR VEHICLE THEFT,STREET,FALSE,22,21,1/10/19 15:16
1/1/19 0:00,BATTERY,APARTMENT,FALSE,9,15,1/10/19 15:16
1/1/19 0:00,CRIMINAL DAMAGE,APARTMENT,FALSE,7,16,1/10/19 15:16
1/1/19 0:00,THEFT,RESTAURANT,FALSE,18,2,1/10/19 15:16
1/1/19 0:00,CRIMINAL DAMAGE,RESIDENCE-GARAGE,FALSE,25,36,1/10/19 15:16
1/1/19 0:00,CRIM SEXUAL ASSAULT,OTHER,FALSE,19,46,1/10/19 15:16
1/1/19 0:00,CRIMINAL DAMAGE,OTHER,FALSE,25,36,1/10/19 15:16
1/1/19 0:00,OTHER OFFENSE,RESIDENCE,FALSE,4,7,1/10/19 15:16
1/1/19 0:00,THEFT,BAR OR TAVERN,FALSE,18,42,1/10/19 15:16
1/1/19 0:00,THEFT,STREET,FALSE,3,5,1/10/19 15:16
1/1/19 0:00,OTHER OFFENSE,APARTMENT,FALSE,2,4,1/18/19 9:37
1/1/19 0:00,ROBBERY,APARTMENT,FALSE,3,7,1/18/19 9:37
1/1/19 0:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,15,28,1/23/19 16:13
1/1/19 0:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,18,43,1/26/19 16:02
1/1/19 0:00,DECEPTIVE PRACTICE,OTHER,FALSE,19,47,2/6/19 16:03
1/1/19 0:00,MOTOR VEHICLE THEFT,RESIDENTIAL YARD (FRONT/BACK),FALSE,10,24,2/9/19 16:09
1/1/19 0:00,DECEPTIVE PRACTICE,OTHER,FALSE,11,27,2/10/19 15:56
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,APARTMENT,FALSE,17,33,10/30/19 15:53
1/1/19 0:00,SEX OFFENSE,RESIDENCE,FALSE,4,7,3/2/19 16:02
1/1/19 0:00,CRIMINAL DAMAGE,RESIDENCE,FALSE,8,14,3/6/19 16:12
1/1/19 0:00,OTHER OFFENSE,RESIDENCE,FALSE,8,13,3/27/19 16:03
1/1/19 0:00,DECEPTIVE PRACTICE,APARTMENT,FALSE,20,40,3/23/19 15:54
1/1/19 0:00,DECEPTIVE PRACTICE,OTHER,FALSE,19,32,4/4/19 16:07
1/1/19 0:00,DECEPTIVE PRACTICE,APARTMENT,FALSE,19,46,4/6/19 15:57
1/1/19 0:00,SEX OFFENSE,RESIDENCE,TRUE,10,22,5/15/19 16:13
1/1/19 0:00,THEFT,APARTMENT,FALSE,15,29,4/24/19 16:24
1/1/19 0:00,OTHER OFFENSE,RESIDENCE,FALSE,25,37,4/18/19 15:59
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,22,21,5/4/19 16:00
1/1/19 0:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,25,26,4/21/19 16:00
1/1/19 0:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,7,6,5/5/19 15:58
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,7,6,6/12/19 16:05
1/1/19 0:00,THEFT,OTHER,FALSE,25,36,11/6/19 15:54
1/1/19 0:00,DECEPTIVE PRACTICE,APARTMENT,FALSE,5,34,6/30/19 15:56
1/1/19 0:00,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),FALSE,16,41,6/30/19 15:56
1/1/19 0:00,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),FALSE,16,41,6/30/19 15:56
1/1/19 0:00,SEX OFFENSE,DAY CARE CENTER,FALSE,6,9,6/30/19 15:56
1/1/19 0:00,DECEPTIVE PRACTICE,,FALSE,16,45,11/19/19 15:57
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,APARTMENT,FALSE,10,22,7/10/19 16:06
1/1/19 0:00,OTHER OFFENSE,STREET,FALSE,9,14,7/19/19 16:09
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,10,22,7/19/19 16:09
1/1/19 0:00,DECEPTIVE PRACTICE,APARTMENT,FALSE,24,49,7/19/19 16:09
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,3,5,12/4/19 15:49
1/1/19 0:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,5,9,12/7/19 15:47
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,APARTMENT,FALSE,20,40,9/13/19 16:06
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,APARTMENT,FALSE,5,9,9/20/19 15:53
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,11,24,9/26/19 16:16
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,APARTMENT,FALSE,3,20,9/25/19 15:50
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,APARTMENT,FALSE,11,27,4/19/20 15:44
1/1/19 0:00,CRIM SEXUAL ASSAULT,APARTMENT,FALSE,4,7,7/27/19 16:05
1/1/19 0:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,9,11,8/3/19 16:02
1/1/19 0:00,CRIMINAL DAMAGE,APARTMENT,FALSE,11,37,8/9/19 16:09
1/1/19 0:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,3,6,8/28/19 16:08
1/1/19 0:00,DECEPTIVE PRACTICE,OTHER,FALSE,2,5,8/30/19 15:57
1/1/19 0:00,SEX OFFENSE,RESIDENCE,FALSE,6,21,5/17/20 15:46
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,"SCHOOL, PRIVATE, BUILDING",FALSE,25,26,1/3/20 15:56
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,APARTMENT,FALSE,4,7,10/15/19 16:01
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,22,34,10/18/19 16:02
1/1/19 0:00,WEAPONS VIOLATION,RESIDENCE PORCH/HALLWAY,FALSE,10,24,1/8/20 15:47
1/1/19 0:00,SEX OFFENSE,APARTMENT,FALSE,12,26,2/13/20 15:50
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,17,35,1/29/20 15:57
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,APARTMENT,FALSE,14,1,4/20/20 15:47
1/1/19 0:00,THEFT,APARTMENT,FALSE,25,35,2/5/20 15:52
1/1/19 0:00,DECEPTIVE PRACTICE,STREET,FALSE,19,32,2/6/20 15:54
1/1/19 0:00,DECEPTIVE PRACTICE,APARTMENT,FALSE,15,29,2/6/20 15:54
1/1/19 0:00,DECEPTIVE PRACTICE,APARTMENT,FALSE,25,36,2/26/20 15:46
1/1/19 0:00,SEX OFFENSE,RESIDENCE,FALSE,25,26,3/23/20 15:47
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,11,28,3/6/20 15:46
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,APARTMENT,FALSE,11,27,7/3/20 15:48
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,APARTMENT,FALSE,12,25,3/23/20 15:47
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,RESIDENCE,TRUE,8,13,6/20/21 16:55
1/1/19 0:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,25,37,2/12/21 15:49
1/1/19 0:00,BATTERY,OTHER (SPECIFY),FALSE,1,42,2/17/21 15:47
1/1/19 0:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,7,15,2/23/21 15:48
1/1/19 0:00,SEX OFFENSE,RESIDENCE,FALSE,5,34,6/30/19 15:56
1/1/19 0:00,CRIMINAL SEXUAL ASSAULT,RESIDENCE,FALSE,9,17,4/29/21 16:49
1/1/19 0:00,SEX OFFENSE,APARTMENT,FALSE,2,4,3/24/21 17:06
1/1/19 0:00,DECEPTIVE PRACTICE,APARTMENT,FALSE,4,7,4/20/21 16:49
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,APARTMENT,TRUE,19,46,5/18/21 17:27
1/1/19 0:00,CRIMINAL SEXUAL ASSAULT,RESIDENCE,FALSE,2,4,5/19/21 18:08
1/1/19 0:00,DECEPTIVE PRACTICE,BANK,FALSE,2,3,5/26/21 16:57
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,APARTMENT,FALSE,20,48,6/5/21 16:52
1/1/19 0:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,4,10,6/6/21 16:53
1/1/19 0:00,SEX OFFENSE,RESIDENCE,FALSE,22,21,9/5/21 16:44
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,5,21,6/27/21 17:13
1/1/19 0:00,CRIMINAL SEXUAL ASSAULT,RESIDENCE,FALSE,2,4,7/2/21 16:53
1/1/19 0:00,DECEPTIVE PRACTICE,APARTMENT,FALSE,10,22,7/12/21 17:00
1/1/19 0:00,SEX OFFENSE,HOSPITAL BUILDING / GROUNDS,FALSE,15,29,7/16/21 16:50
1/1/19 0:00,OTHER OFFENSE,RESIDENCE,FALSE,12,28,8/19/21 16:51
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,25,26,9/6/21 16:48
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,5,34,9/24/21 16:47
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,5,34,9/24/21 16:47
1/1/19 0:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,6,6,9/26/21 16:48
1/1/19 0:00,DECEPTIVE PRACTICE,GOVERNMENT BUILDING / PROPERTY,FALSE,10,24,10/2/21 16:47
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,APARTMENT,FALSE,11,37,10/8/21 16:47
1/1/19 0:00,OFFENSE INVOLVING CHILDREN,APARTMENT,FALSE,10,22,10/13/21 16:47
1/1/19 0:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,9,14,10/22/21 16:48
1/1/19 0:00,CRIMINAL SEXUAL ASSAULT,RESIDENCE,FALSE,11,28,10/24/21 16:46
1/1/19 0:01,WEAPONS VIOLATION,ALLEY,TRUE,11,27,1/10/19 15:16
1/1/19 0:01,CRIMINAL DAMAGE,RESIDENCE,FALSE,4,7,1/10/19 15:16
1/1/19 0:01,THEFT,STREET,FALSE,1,42,1/10/19 15:16
1/1/19 0:01,ROBBERY,STREET,FALSE,4,8,1/10/19 15:16
1/1/19 0:01,CRIMINAL DAMAGE,CTA GARAGE / OTHER PROPERTY,FALSE,7,16,1/10/19 15:16
1/1/19 0:01,CRIMINAL DAMAGE,RESIDENTIAL YARD (FRONT/BACK),FALSE,22,19,1/10/19 15:16
1/1/19 0:01,CRIMINAL DAMAGE,RESIDENCE,FALSE,2,4,1/10/19 15:16
1/1/19 0:01,CRIMINAL DAMAGE,STREET,FALSE,1,3,1/10/19 15:16
1/1/19 0:01,MOTOR VEHICLE THEFT,STREET,FALSE,25,29,1/10/19 15:16
1/1/19 0:01,THEFT,RESIDENCE,FALSE,5,9,1/10/19 15:16
1/1/19 0:01,BURGLARY,APARTMENT,FALSE,4,7,1/18/19 9:37
1/1/19 0:01,BURGLARY,APARTMENT,TRUE,12,27,5/8/19 16:16
1/1/19 0:01,OTHER OFFENSE,RESIDENCE,FALSE,20,48,1/30/19 16:08
1/1/19 0:01,OTHER OFFENSE,RESIDENCE,FALSE,2,5,2/14/19 16:02
1/1/19 0:01,DECEPTIVE PRACTICE,RESIDENCE,FALSE,17,50,2/20/19 16:21
